Plant_Number,PRODUCT,Model,FG CODE,DESCRIPTION
6062,SAWM,6100,F01000018200,DW-7200 W FL
6062,SAWM,6550,F01000000073,WM DW-6550 TWIN TUB CLEAR LID (WHITE)
6062,SAWM,6550,F01000046300,WTT 6550 TWIN TUB WHITE LID (WHITE) Beko
6062,SAWM,6550,F01000030900,DW-6580 W FL DAWLANCE
6062,SAWM,6550,F01000000151,WM DW 6550 TWIN TUB WHITE LID (WHITE)
6062,AWM-FL,7200,F01000000223,AWM DWF 7200 X INV (ANTHRACITE)
6062,AWM-FL,7200,F01000000232,AWM DWF 7120 W INV (WHITE)
6062,SAWM,7500,F01000046400,WTT 7500 TWIN TUB GLASS LID BLACK/GREY B
6062,SAWM,7500,F11031006930,WM DW 7500 TWIN TUB CLEAR LID (WHITE)
6062,SAWM,6550,F01000030800,DW-6580 C FL DAWLANCE
6062,SAWM,7500,F01000000030,WM DW-7500 TWIN TUB GLASS LID BLACK/GREY
6062,SAWM,7500,F01000024900,DW 8550 CB FL Dawlance
6062,AWM-FL,8200,F01000000222,AWM DWF 8200 X INV (ANTHRACITE)
6062,AWM-FL,8200,F01000000233,AWM DWF 8120 GR INV (GREY)
6062,AWM-FL,8200,F01000038600,DWF 8201 S INV Dawlance
6062,SAWM,9000,F01000000220,SPINNER DS 9000 WHITE LID (WHITE)
6062,SAWM,9100,F11031006830,WM DW 9100 WASHER CLEAR LID (WHITE)
6062,SAWM,9100,F01000000031,WM DW-9100 GLASS LID (BLACK/GREY)
6062,SAWM,9100,F01000013400,WM DW 9200 WFL
6062,SAWM,9100,F01000013300,WM DW 9200 CFL
6061,REF-DPL,9101,F01000000142,REF 9101 SD R ND (SILVER & BLACK)
6061,REF-DPL,9101,F01000058600,REF 9101 SD Metallic Grey Dawlance
6061,REF-DPL,9106,F01000058500,REF 9106 SD Metallic Grey Dawlance
6061,REF-DPL,9101,F01000000283,REF 9101 SD R ND (WHITE)
6061,REF-DPL,9106,F01000000143,REF 9106 SD R ND (SILVER & BLACK)
6061,REF-DPL,9106,F01000000284,REF 9106 SD R ND (WHITE)
6061,REF-DPL,9140,F01000007400,REF 9140WB CHROME HAIRLINE BLACK
6061,REF-DPL,9140,F01000014900,REF 9140WB CHROME PRO HAIRLINE SILVER
6061,REF-DPL,9140,F01000007800,REF 9140WB AVANTE PEARL BURGUNDY
6061,REF-DPL,9140,F01000015000,REF 9140WB AVANTE PEARL RED
6061,REF-DPL,9140,F01000014800,REF 9140WB CHROME PEARL COPPER
6061,REF-DPL,9140,F01000034100,REF 9140WB E-CHROME HAIRLINE GOLDEN Dawl
6061,REF-DPL,9140,F01000029100,REF 9140WB M-CHROME METALLIC SILVER Dawl
6061,REF-DPL,9140,F01000048400,REF 9140WB D SOLAR HAIRLINE SILVER Dawla
6061,REF-DPL,9140,F01000047800,REF 9140WB E-CHROME Metallic Grey Dawlan
6061,REF-DPL,9140,F01000043200,REF 9140 Chrome Pro Inv Dawlance
6061,REF-DPL,9149,F01000007700,REF 9149WB AVANTE PEARL BURGUNDY
6061,REF-DPL,9149,F01000014200,REF 9149WB AVANTE PEARL RED
6061,REF-DPL,9149,F01000007300,REF 9149WB CHROME HAIRLINE BLACK
6061,REF-DPL,9149,F01000014100,REF 9149WB CHROME PEARL COPPER
6061,REF-DPL,9149,F01000014700,REF 9149WB CHROME PRO HAIRLINE SILVER
6061,REF-DPL,9149,F01000029000,REF 9149WB M-CHROME METALLIC SILVER Dawl
6061,REF-DPL,9149,F01000034200,REF 9149WB E-CHROME HAIRLINE GOLDEN Dawl
6061,REF-DPL,9149,F01000048300,REF 9149WB D SOLAR HAIRLINE SILVER Dawla
6061,REF-DPL,9149,F01000047700,REF 9149WB E-CHROME Metallic Grey Dawlan
6061,REF-DPL,9149,F01000043300,REF 9149 Chrome Pro Inv Dawlance
6061,REF-DPL,9160,F01000007200,REF 9160LF CHROME HAIRLINE BLACK
6061,REF-DPL,9160,F01000007600,REF 9160LF AVANTE PEARL BURGUNDY
6061,REF-DPL,9160,F01000013900,REF 9160LF AVANTE PEARL RED
6061,REF-DPL,9160,F01000013800,REF 9160LF CHROME PEARL COPPER
6061,REF-DPL,9160,F01000014600,REF 9160LF CHROME PRO HAIRLINE SILVER
6061,REF-DPL,9160,F01000015700,REF 9160LF AVANTE+ SAPPHIRE PURPLE
6061,REF-DPL,9160,F01000024700,REF 9160LF AVANTE+ NEW RUBY RED Dawlance
6061,REF-DPL,9169,F01000007500,REF 9169WB AVANTE PEARL BURGUNDY
6061,REF-DPL,9169,F01000013600,REF 9169WB AVANTE PEARL RED
6061,REF-DPL,9169,F01000007100,REF 9169WB CHROME HAIRLINE BLACK
6061,REF-DPL,9169,F01000013500,REF 9169WB CHROME PEARL COPPER
6061,REF-DPL,9169,F01000014300,REF 9169WB CHROME PRO HAIRLINE SILVER
6061,REF-DPL,9169,F01000007900,REF 9169WB AVANTE+ SAPPHIRE PURPLE
6061,REF-DPL,9169,F01000024600,REF 9169WB AVANTE+ NEW RUBY RED Dawlance
6041,REF-URIL,9173,F01000001400,REF 9173WB CHROME HAIRLINE BLACK
6041,REF-URIL,9173,F01000003700,REF 9173WB CHROME PEARL COPPER
6041,REF-URIL,9173,F01000010800,REF 9173WB CHROME PRO HAIRLINE SILVER
6041,REF-URIL,9173,F01000011400,REF 9173WB AVANTE+ SAPPHIRE PURPLE
6041,REF-URIL,9173,F01000021800,REF 9173WB AVANTE+ NEW RUBY RED Dawlance
6041,REF-URIL,9173,F01000029300,REF 9173WB M-CHROME METALLIC SILVER
6041,REF-URIL,9173,F01000034900,REF 9173WB AVANTE+ PLATINUM SILVER Dawla
6041,REF-URIL,9173,F01000035000,REF 9173WB AVANTE+ IMPERIAL RED Dawlance
6041,REF-URIL,9173,F01000034800,REF 9173WB AVANTE+ MIDNIGHT GREEN Dawlan
6041,REF-URIL,9173,F01000032200,REF 9173WB AVANTE DIAMOND RED Dawlance
6041,REF-URIL,9173,F01000032100,REF 9173WB AVANTE DIAMOND PURPLE Dawlanc
6041,REF-URIL,9173,F01000039600,REF 9173WB E-CHROME HAIRLINE GOLDEN Dawl
6041,REF-URIL,9173,F01000000256,REF 9173WB E-CHROME METALLIC GOLD  
6041,REF-URIL,9173,F01000048100,REF 9173LF E-CHROME Metallic Grey Dawlan
6041,REF-URIL,9173,F01000043700,REF 9173 Acce Coral Red
6041,REF-URIL,9178,F01000001500,REF 9178LF CHROME HAIRLINE BLACK
6041,REF-URIL,9178,F01000039200,REF 9178LF CHROMEPRO HAIRLINE SILVER (Y)
6041,REF-URIL,9178,F01000004300,REF 9178LF CHROME PEARL COPPER
6041,REF-URIL,9178,F01000011500,REF 9178LF AVANTE+ SAPPHIRE PURPLE
6041,REF-URIL,9178,F01000010900,REF 9178LF CHROME PRO HAIRLINE SILVER
6041,REF-URIL,9178,F01000021700,REF 9178LF AVANTE+ NEW RUBY RED Dawlance
6041,REF-URIL,9178,F01000031600,REF 9178LF AVANTE DIAMOND RED Dawlance
6041,REF-URIL,9178,F01000031500,REF 9178LF AVANTE DIAMOND PURPLE Dawlanc
6041,REF-URIL,9178,F01000041800,REF 9178LF AVANTE+ Platinum Silver Dawla
6041,REF-URIL,9178,F01000039400,REF 9178LF AVANTE+ Imperial Red Dawlance
6041,REF-URIL,9178,F01000039300,REF 9178LF AVANTE+ Midnight Green Dawlan
6041,REF-URIL,9178,F01000039700,REF 9178LF E-CHROME HAIRLINE GOLDEN Dawl
6041,REF-URIL,9178,F01000029200,REF 9178LF M-CHROME METALLIC SILVER
6041,REF-URIL,9178,F01000000257,REF 9178LF E-CHROME METALLIC GOLD
6041,REF-URIL,9178,F01000048200,REF 9178LF E-CHROME Metallic Grey Dawlan
6041,REF-URIL,9178,F01000043800,REF 9178 Acce Coral Red
6041,REF-URIL,9191,F01000002200,REF 9191WB CHROME HAIRLINE BLACK
6041,REF-URIL,9191,F01000002300,REF 9191WB CHROME PEARL COPPER
6041,REF-URIL,9191,F01000011600,REF 9191WB AVANTE+ SAPPHIRE PURPLE
6041,REF-URIL,9191,F01000011000,REF 9191WB CHROME PRO HAIRLINE SILVER
6041,REF-URIL,9191,F01000022000,REF 9191WB AVANTE+ NEW RUBY RED Dawlance
6041,REF-URIL,9191,F01000031400,REF 9191WB AVANTE DIAMOND RED Dawlance
6041,REF-URIL,9191,F01000031300,REF 9191WB AVANTE DIAMOND PURPLE Dawlanc
6041,REF-URIL,9191,F01000040000,REF 9191WB AVANTE+ Platinum Silver Dawla
6041,REF-URIL,9191,F01000039900,REF 9191WB AVANTE+ Imperial Red Dawlance
6041,REF-URIL,9191,F01000039800,REF 9191WB AVANTE+ Midnight Green Dawlan
6041,REF-URIL,9191,F01000003800,REF 9191WB AVANTE+ CLOUD WHITE
6041,REF-URIL,9191,F01000039100,REF 9191WB CHROMEPRO HAIRLINE SILVER (Y)
6041,REF-URIL,9191,F01000043500,REF 9191 Graze+ Gem Black
6041,REF-URIL,9193,F01000001700,REF 9193LF CHROME HAIRLINE BLACK
6041,REF-URIL,9193,F01000005400,REF 9193LF CHROME PEARL COPPER
6041,REF-URIL,9193,F01000011700,REF 9193LF AVANTE+ SAPPHIRE PURPLE
6041,REF-URIL,9193,F01000011100,REF 9193LF CHROME PRO HAIRLINE SILVER
6041,REF-URIL,9193,F01000012000,REF 9193LF AVANTE+ CLOUD WHITE
6041,REF-URIL,9193,1000012300,REF 9193LF AVANTE+ IOT SILKY RED
6041,REF-URIL,9193,1000000258,REF 9193LF AVANTE+ IOT SILKY BLACK
6041,REF-URIL,9193,F01000021900,REF 9193LF AVANTE+ NEW RUBY RED Dawlance
6041,REF-URIL,9193,F01000031700,REF 9193LF AVANTE DIAMOND RED Dawlance
6041,REF-URIL,9193,F01000031800,REF 9193LF AVANTE DIAMOND PURPLE Dawlanc
6041,REF-URIL,9193,F01000034600,REF 9193LF AVANTE+ PLATINUM SILVER Dawla
6041,REF-URIL,9193,F01000034500,REF 9193LF AVANTE+ IMPERIAL RED Dawlance
6041,REF-URIL,9193,F01000034700,REF 9193LF AVANTE+ MIDNIGHT GREEN Dawlan
6041,REF-URIL,9193,F01000039000,REF 9193LF CHROMEPRO HAIRLINE SILVER (Y)
6041,REF-URIL,9193,F01000038700,REF 9193LF AVANTE+ CLOUD WHITE  YEMEN Da
6041,REF-URIL,9193,F01000043400,REF 9193 Graze+ Gem Black
6041,AWM-TL,9500,F01000047900,DWT 9560 Dawlance
6041,AWM-TL,9500,F01000048000,DWT 9540 Dawlance
6041,SAWM,10500,F01000000074,WM DW-10500 TWIN TUB CLEAR LID (WHITE)
6041,SAWM,10500,F01000047500,DW 10600 W FL Dawlance
6041,SAWM,10500,F01000041900,DW-10600 CB FL DAWLANCE
6041,REF-URIL,91999,F01000032900,DTM-7650 INV INOX
6041,REF-URIL,91999,F01000003400,REF 91999 CHROME HAIRLINE BLACK
6041,REF-URIL,91999,F01000005800,REF 91999 CHROME PEARL COPPER
6041,REF-URIL,91999,F01000011800,REF 91999 AVANTE+ SAPPHIRE PURPLE
